Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
524,0 <= 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,guarantor,Four,real estate,26,none,own,One,unskilled - resident,Two,none,yes,Good
525,0 <= 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year,Two,male: single,none,Three,car or other,30,none,own,Two,skilled employee / official,One,none,yes,Good
526,no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Three,car or other,31,none,own,One,skilled employee / official,One,none,yes,Good
527,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,One,real estate,42,none,own,Two,unskilled - resident,Two,none,yes,Good
528,... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,... < 100 DM, 1 <= ... < 4 years,Four,male: divorced/separated,none,Four,car or other,31,none,rent,One,skilled employee / official,One,none,yes,Bad
529,... < 0 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,Three,male: single,none,Four,real estate,41,none,own,One,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
530,0 <= 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,One,car or other,32,none,own,Two,skilled employee / official,Two,none,yes,Good
531,0 <= 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,28,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
532,no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Four,real estate,41,none,rent,One,skilled employee / official,One,none,yes,Good
533,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: married/widowed,none,Three,building society savings agreement/life insurance,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
534,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/no savings account,... < 1 year,Four,male: single,none,Two,car or other,25,none,own,Two,skilled employee / official,One,none,yes,Good
535,... >= 200 DM / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),education,2319,... < 100 DM,... < 1 year,Two,male: divorced/separated,none,One,car or other,33,none,rent,One,skilled employee / official,One,none,yes,Bad
536,... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,Four,female: divorced/separated/married,none,Three,building society savings agreement/life insurance,75,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
537,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,Three,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,37,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
538,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,42,bank,for free,One,management / self-employed / highly qualified employee / officer,One,none,yes,Bad
539,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,One,building society savings agreement/life insurance,45,stores,own,One,unskilled - resident,One,none,yes,Good
540,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1534,... < 100 DM,... < 1 year,One,male: married/widowed,none,One,real estate,23,none,rent,One,skilled employee / official,One,none,yes,Bad
541,no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,60,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
542,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,31,none,own,One,skilled employee / official,One,none,yes,Bad
543,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,One,real estate,34,none,own,One,unskilled - resident,Two,none,yes,Bad
544,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,61,none,own,Two,unskilled - resident,One,none,yes,Good
545,... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,Four,male: single,none,Two,real estate,43,none,for free,Two,skilled employee / official,Two,none,yes,Bad
546,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,37,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,One,car or other,32,bank,own,One,skilled employee / official,Two,none,yes,Good
548,... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,real estate,24,bank,own,One,unskilled - resident,One,none,yes,Bad
549,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/no savings account,4 <= ... < 7 years,Two,male: single,none,One,unknown / no property,35,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
550,no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,real estate,23,none,own,Two,skilled employee / official,One,none,yes,Good
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,... >= 7 years,Two,male: single,none,Four,building society savings agreement/life insurance,45,bank,own,One,unskilled - resident,Two,none,yes,Good
552,... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,One,male: married/widowed,guarantor,One,real estate,34,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
553,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,Four,male: single,none,One,car or other,27,none,own,One,skilled employee / official,One,none,yes,Good
554,0 <= 200 DM,9,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,67,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
555,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,Two,male: single,none,One,car or other,22,stores,own,One,skilled employee / official,One,none,yes,Bad
556,0 <= 200 DM,18,no credits taken/all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,Three,female: divorced/separated/married,none,Three,car or other,28,none,own,Two,skilled employee / official,One,none,yes,Bad
557,no checking account,21,no credits taken/all credits paid back duly,car (new),5003,unknown/no savings account, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,29,bank,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
558,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Four,car or other,27,bank,own,One,skilled employee / official,One,none,yes,Bad
559,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,Two,male: single,none,Two,real estate,31,none,own,Two,unskilled - resident,One,none,yes,Bad
560,... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,unknown / no property,49,bank,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
561,... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... < 100 DM,4 <= ... < 7 years,Four,male: single,guarantor,Four,car or other,24,bank,rent,One,unskilled - resident,One,none,yes,Bad
562,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,One,building society savings agreement/life insurance,29,bank,own,One,skilled employee / official,One,none,yes,Good
563,0 <= 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account, 1 <= ... < 4 years,One,male: single,none,Four,unknown / no property,37,none,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
564,0 <= 200 DM,24,delay in paying off in the past,business,4712,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Two,building society savings agreement/life insurance,37,bank,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
565,0 <= 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,Three,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,23,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
566,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,Two,male: divorced/separated,none,Three,car or other,36,none,own,One,skilled employee / official,One,none,yes,Bad
567,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,... >= 1000 DM,... >= 7 years,Two,male: single,none,Two,car or other,34,none,own,One,skilled employee / official,One,none,yes,Good
568,0 <= 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,One,car or other,41,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
569,... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,car or other,31,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
570,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,real estate,23,none,rent,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
571,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,Three,male: single,co-applicant,Two,car or other,38,none,own,One,skilled employee / official,One,none,yes,Good
572,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,26,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
573,... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,22,none,own,One,unskilled - resident,One,none,yes,Good
574,0 <= 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,27,none,own,Two,unskilled - resident,One,none,yes,Good
575,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,co-applicant,Three,car or other,24,bank,own,Two,skilled employee / official,One,none,yes,Good
576,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,2930,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,One,real estate,27,none,own,One,skilled employee / official,One,none,yes,Good
577,no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/no savings account, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,car or other,33,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
578,0 <= 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,Four,male: divorced/separated,none,Four,car or other,27,none,own,Two,skilled employee / official,One,none,yes,Bad
579,no checking account,24,existing credits paid back duly till now,retraining,937,... < 100 DM,... < 1 year,Four,male: married/widowed,none,Three,car or other,27,none,own,Two,unskilled - resident,One,none,yes,Good
580,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,Three,male: single,guarantor,Three,real estate,30,bank,own,Two,skilled employee / official,One,none,yes,Bad
581,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,One,male: single,none,Three,real estate,49,bank,own,Two,unskilled - resident,Two,none,yes,Good
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,real estate,26,none,rent,One,skilled employee / official,One,none,yes,Good
583,0 <= 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,Four,male: single,none,One,unknown / no property,33,none,rent,One,unskilled - resident,One,none,yes,Bad
584,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,... >= 7 years,Four,female: divorced/separated/married,none,Four,unknown / no property,52,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
585,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Four,real estate,20,bank,rent,One,skilled employee / official,One,none,yes,Bad
586,... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,36,none,rent,Two,skilled employee / official,Two,none,yes,Good
587,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM, 1 <= ... < 4 years,Four,male: single,guarantor,One,building society savings agreement/life insurance,21,none,own,One,unskilled - resident,One,none,yes,Good
588,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Three,real estate,47,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
589,... < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,... < 100 DM,... >= 7 years,Three,male: single,none,Three,building society savings agreement/life insurance,60,none,own,Two,skilled employee / official,One,none,yes,Bad
590,... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Three,real estate,58,none,own,Four,unskilled - resident,One,"yes, registered under the customers name",yes,Good
591,0 <= 200 DM,24,delay in paying off in the past,car (new),1965,unknown/no savings account, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,42,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
592,no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,Four,female: divorced/separated/married,none,Four,real estate,36,bank,own,One,unskilled - resident,One,none,yes,Good
593,0 <= 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,20,none,rent,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
594,... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/no savings account,... >= 7 years,Four,male: single,none,Three,car or other,40,stores,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
595,0 <= 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,One,female: divorced/separated/married,none,One,building society savings agreement/life insurance,32,stores,own,One,unskilled - resident,One,none,yes,Bad
596,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,car or other,23,none,rent,Two,skilled employee / official,One,none,yes,Bad
597,0 <= 200 DM,24,no credits taken/all credits paid back duly,business,4241,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Four,real estate,36,none,own,Three,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
598,no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Two,building society savings agreement/life insurance,31,bank,own,Two,skilled employee / official,One,none,yes,Bad
599,no checking account,24,delay in paying off in the past,business,3863,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Two,unknown / no property,32,none,for free,One,skilled employee / official,One,none,yes,Good
600,0 <= 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,One,female: divorced/separated/married,guarantor,One,real estate,45,none,own,One,skilled employee / official,One,none,yes,Good
601,0 <= 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,One,building society savings agreement/life insurance,30,none,own,One,skilled employee / official,One,none,yes,Bad
602,0 <= 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,unknown / no property,34,bank,for free,One,unskilled - resident,One,none,yes,Bad
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,car or other,28,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
604,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,23,none,own,One,skilled employee / official,One,none,yes,Good
605,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Four,real estate,22,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
606,no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,real estate,74,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
607,0 <= 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,co-applicant,Four,unknown / no property,50,none,for free,One,skilled employee / official,One,none,yes,Bad
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,... < 100 DM,... < 1 year,Four,male: single,none,One,real estate,33,none,own,One,skilled employee / official,One,none,yes,Good
609,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,unknown / no property,45,bank,for free,One,skilled employee / official,Two,none,yes,Good
610,... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,Four,female: divorced/separated/married,none,Three,building society savings agreement/life insurance,22,none,own,One,skilled employee / official,One,none,yes,Bad
611,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,One,female: divorced/separated/married,none,Four,unknown / no property,48,none,for free,One,unskilled - resident,Two,none,yes,Bad
612,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,Four,female: divorced/separated/married,none,Two,car or other,29,bank,own,One,skilled employee / official,One,none,yes,Good
613,... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,guarantor,Four,car or other,22,bank,rent,One,skilled employee / official,One,none,no,Good
614,no checking account,18,delay in paying off in the past,furniture/equipment,1808,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,One,real estate,22,none,own,One,skilled employee / official,One,none,yes,Bad
615,0 <= 200 DM,48,no credits taken/all credits paid back duly,business,12204,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,48,bank,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
616,0 <= 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,Two,unknown / no property,27,none,for free,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
617,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Three,real estate,37,none,rent,Three,skilled employee / official,Two,none,yes,Good
618,0 <= 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,co-applicant,Four,car or other,21,none,rent,One,skilled employee / official,One,none,yes,Bad
619,no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM, 1 <= ... < 4 years,Four,male: divorced/separated,none,Two,real estate,49,none,own,One,unskilled - resident,One,none,yes,Good
620,0 <= 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Three,building society savings agreement/life insurance,27,none,own,Two,skilled employee / official,One,none,yes,Good
621,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,building society savings agreement/life insurance,32,bank,own,Two,skilled employee / official,One,none,yes,Bad
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown/no savings account, 1 <= ... < 4 years,Four,male: divorced/separated,none,Two,real estate,38,bank,own,One,skilled employee / official,One,none,yes,Bad
623,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,car or other,22,none,rent,One,skilled employee / official,One,none,yes,Good
624,... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,65,none,for free,Two,skilled employee / official,One,none,yes,Bad
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings account,... >= 7 years,Four,male: single,none,Two,car or other,35,none,own,One,skilled employee / official,One,none,yes,Good
626,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,41,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
627,0 <= 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,Two,male: single,none,Three,unknown / no property,29,none,own,One,skilled employee / official,One,none,yes,Bad
628,no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Four,real estate,36,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown/no savings account,... >= 7 years,One,male: single,none,Four,real estate,64,none,own,One,unskilled - resident,One,none,yes,Good
630,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,28,none,own,One,skilled employee / official,One,none,yes,Good
631,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Three,car or other,44,bank,own,One,skilled employee / official,One,none,yes,Bad
632,0 <= 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/no savings account,... < 1 year,Four,male: single,none,One,building society savings agreement/life insurance,23,none,own,One,skilled employee / official,One,none,yes,Good
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,co-applicant,Two,car or other,19,none,rent,Two,skilled employee / official,One,none,yes,Bad
634,0 <= 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,Three,female: divorced/separated/married,none,Four,car or other,25,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
635,no checking account,12,existing credits paid back duly till now,education,1393,... < 100 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,47,bank,own,Three,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,One,car or other,28,none,own,One,skilled employee / official,One,none,yes,Good
637,no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Four,car or other,21,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Three,car or other,34,none,own,One,skilled employee / official,Two,none,yes,Good
639,... < 0 DM,42,delay in paying off in the past,radio/television,4370,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Two,building society savings agreement/life insurance,26,bank,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Bad
640,... < 0 DM,18,existing credits paid back duly till now,education,750,... < 100 DM,unemployed,Four,female: divorced/separated/married,none,One,real estate,27,none,own,One,unemployed/unskilled - non-resident,One,none,yes,Bad
641,0 <= 200 DM,15,existing credits paid back duly till now,repairs,1308,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,38,none,own,Two,unskilled - resident,One,none,yes,Good
642,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM, 1 <= ... < 4 years,Three,male: single,none,Two,building society savings agreement/life insurance,40,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
643,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,... < 100 DM,4 <= ... < 7 years,Four,male: married/widowed,guarantor,Two,car or other,33,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
644,... < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,Four,male: married/widowed,none,One,building society savings agreement/life insurance,32,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
645,no checking account,36,delay in paying off in the past,business,7980,unknown/no savings account,... < 1 year,Four,male: single,none,Four,car or other,27,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
646,... < 0 DM,30,no credits taken/all credits paid back duly,furniture/equipment,4583,... < 100 DM, 1 <= ... < 4 years,Two,male: divorced/separated,guarantor,Two,real estate,32,none,own,Two,skilled employee / official,One,none,yes,Good
647,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,26,none,own,One,skilled employee / official,One,none,yes,Bad
648,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Three,unknown / no property,38,bank,for free,One,skilled employee / official,Two,none,yes,Bad
649,... < 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,car or other,40,none,rent,One,unskilled - resident,Two,none,yes,Bad
650,... < 0 DM,48,existing credits paid back duly till now,education,7476,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,One,unknown / no property,50,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
651,0 <= 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,building society savings agreement/life insurance,37,none,own,One,unskilled - resident,One,none,yes,Bad
652,... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,Four,male: single,co-applicant,One,real estate,45,none,own,One,skilled employee / official,One,none,yes,Bad
653,0 <= 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,Two,male: single,none,Four,car or other,42,none,own,Four,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
